,Chutes a gol 1,Chutes a gol 2,Impedimentos 1,Impedimentos 2,Escanteios 1,Escanteios 2,Chutes fora 1,Chutes fora 2,Faltas 1,Faltas 2,Cartões amarelos 1,Cartões amarelos 2,Cartões vermelhos 1,Cartões vermelhos 2,Cruzamentos 1,Cruzamentos 2,Laterais 1,Laterais 2,Chutes bloqueados 1,Chutes bloqueados 2,Contra-ataques 1,Contra-ataques 2,Gols 1,Gols 2,Tiro de meta 1,Tiro de meta 2,Tratamentos 1,Tratamentos 2,SubstituiÃ§Ãµes 1,SubstituiÃ§Ãµes 2,Tiros-livres 1,Tiros-livres 2,Defesas difÃ­ceis 1,Defesas difÃ­ceis 2,Posse 1(%),Posse 2(%),Time 1,Time 2,Position 1,Position 2,Time 1 x Time 2,Resultado Time 1,Position 1 Score,Position 2 Score
1282,4.0,1.0,1.0,2.0,8.0,8.0,8.0,7.0,12.0,3.0,1.0,0.0,0.0,0.0,25.0,36.0,20.0,23.0,5.0,3.0,6.0,2.0,0.0,0.0,9.0,12.0,0.0,5.0,4.0,4.0,14.0,14.0,2.0,3.0,49.0,51.0,248,69,3-5-2,4-4-2,5786,1,0.85,0.9
17750,6.0,4.0,1.0,7.0,7.0,2.0,5.0,5.0,8.0,12.0,0.0,2.0,0.0,0.0,17.0,13.0,16.0,15.0,3.0,1.0,1.0,1.0,0.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,56.0,44.0,172,28,4-4-2,4-4-2,3904,1,0.9,0.9
12740,5.0,2.0,5.0,3.0,3.0,2.0,8.0,3.0,10.0,11.0,2.0,1.0,0.0,1.0,10.0,11.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,61.0,39.0,95,101,4-2-3-1,4-2-3-1,2109,1,0.87,0.87
17399,3.0,2.0,3.0,2.0,5.0,2.0,5.0,3.0,21.0,11.0,1.0,3.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,3.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,60.0,40.0,173,172,4-2-3-1,4-2-2-2,3955,0,0.87,0.86
25396,6.0,2.0,1.0,2.0,6.0,2.0,13.0,1.0,6.0,18.0,1.0,3.0,0.0,0.0,22.0,13.0,15.0,7.0,3.0,1.0,1.0,1.0,3.0,2.0,6.0,15.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,47.0,53.0,298,179,4-4-2,4-1-4-1,6992,0,0.9,0.93
3603,4.0,2.0,1.0,1.0,5.0,7.0,3.0,4.0,7.0,11.0,0.0,2.0,0.0,1.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,2.0,2.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,55.0,45.0,243,187,4-4-2,3-4-3,5661,1,0.9,0.76
13667,5.0,3.0,1.0,3.0,1.0,5.0,5.0,4.0,4.0,19.0,0.0,1.0,0.0,0.0,19.0,24.0,15.0,22.0,3.0,2.0,1.0,2.0,3.0,2.0,8.0,5.0,4.0,0.0,5.0,5.0,14.0,14.0,2.0,3.0,43.0,57.0,132,48,4-4-2,4-3-1-2,7333,0,0.9,0.88
709,3.0,5.0,1.0,1.0,6.0,5.0,3.0,3.0,12.0,13.0,2.0,3.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,0.0,4.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,47.0,53.0,85,259,4-4-2,4-4-2,1919,1,0.9,0.9
8286,4.0,3.0,2.0,1.0,10.0,2.0,8.0,4.0,12.0,8.0,0.0,1.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,2.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,72.0,28.0,143,171,3-5-2,5-3-2,3191,0,0.85,0.97
15481,3.0,3.0,0.0,1.0,4.0,1.0,9.0,1.0,18.0,15.0,4.0,4.0,0.0,1.0,27.0,10.0,3.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,2.0,6.0,3.0,3.0,14.0,14.0,2.0,3.0,59.0,41.0,195,272,4-2-3-1,4-3-1-2,4509,1,0.87,0.88
1202,2.0,3.0,0.0,6.0,6.0,7.0,8.0,2.0,8.0,8.0,1.0,2.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,0.0,2.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,45.0,55.0,152,217,4-2-3-1,4-2-3-1,3423,1,0.87,0.87
21280,1.0,2.0,1.0,3.0,7.0,1.0,7.0,0.0,20.0,18.0,1.0,3.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,63.0,37.0,121,177,4-4-2,4-3-3,2775,1,0.9,0.78
12839,0.0,6.0,5.0,1.0,3.0,7.0,4.0,6.0,15.0,13.0,3.0,2.0,0.0,0.0,21.0,15.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,44.0,56.0,182,273,4-2-3-1,4-2-3-1,4210,1,0.87,0.87
22107,2.0,0.0,2.0,2.0,5.0,4.0,6.0,5.0,12.0,13.0,2.0,4.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,2.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,52.0,48.0,177,115,4-2-3-1,4-1-2-1-2,4062,0,0.87,0.89
27448,11.0,6.0,2.0,0.0,8.0,1.0,11.0,4.0,14.0,19.0,1.0,4.0,0.0,0.0,31.0,17.0,21.0,21.0,2.0,2.0,1.0,1.0,5.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,60.0,40.0,22,46,4-4-2,4-5-1,469,0,0.9,0.95
27416,3.0,7.0,2.0,4.0,6.0,9.0,4.0,7.0,20.0,12.0,2.0,1.0,0.0,0.0,19.0,11.0,29.0,22.0,1.0,7.0,2.0,2.0,2.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,43.0,57.0,22,71,4-1-3-2,4-1-2-1-2,475,0,0.82,0.89
8812,4.0,4.0,3.0,1.0,11.0,2.0,9.0,3.0,13.0,24.0,1.0,1.0,0.0,0.0,26.0,11.0,18.0,20.0,2.0,1.0,1.0,1.0,1.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,57.0,43.0,103,114,4-3-3,4-3-3,2334,0,0.78,0.78
26066,3.0,4.0,2.0,2.0,7.0,9.0,6.0,9.0,5.0,9.0,0.0,0.0,0.0,0.0,12.0,19.0,5.0,15.0,1.0,2.0,1.0,1.0,0.0,0.0,12.0,8.0,1.0,0.0,2.0,1.0,14.0,14.0,2.0,3.0,46.0,54.0,64,22,4-4-1-1,4-4-1-1,7300,1,0.91,0.91
2820,3.0,2.0,2.0,2.0,5.0,5.0,5.0,11.0,11.0,7.0,1.0,1.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,3.0,0.0,7.0,8.0,1.0,2.0,0.0,1.0,14.0,14.0,2.0,3.0,51.0,49.0,44,274,4-3-3,3-5-2,981,0,0.78,0.85
12943,6.0,8.0,2.0,0.0,7.0,6.0,1.0,2.0,18.0,13.0,3.0,3.0,0.0,0.0,18.0,12.0,16.0,15.0,3.0,6.0,1.0,1.0,2.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,49.0,51.0,150,37,4-1-4-1,4-1-4-1,3370,0,0.93,0.93
20170,4.0,4.0,2.0,2.0,5.0,4.0,6.0,5.0,12.0,13.0,0.0,0.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,52.0,48.0,226,87,4-2-3-1,4-2-3-1,5194,1,0.87,0.87
20105,4.0,3.0,4.0,4.0,5.0,4.0,10.0,2.0,6.0,14.0,0.0,0.0,0.0,0.0,13.0,11.0,17.0,13.0,2.0,2.0,1.0,1.0,2.0,2.0,7.0,14.0,0.0,3.0,1.0,3.0,14.0,14.0,2.0,3.0,52.0,48.0,82,226,4-2-3-1,4-2-3-1,1850,1,0.87,0.87
22405,2.0,8.0,1.0,2.0,5.0,5.0,4.0,8.0,16.0,11.0,0.0,0.0,0.0,1.0,6.0,23.0,15.0,21.0,1.0,3.0,1.0,1.0,2.0,2.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,27.0,73.0,11,31,4-2-3-1,4-3-3,228,1,0.87,0.78
9387,8.0,7.0,3.0,1.0,7.0,6.0,9.0,6.0,17.0,11.0,5.0,1.0,0.0,1.0,15.0,5.0,16.0,22.0,2.0,2.0,0.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,41.0,59.0,54,138,3-5-1-1,4-2-3-1,1183,1,0.89,0.87
14787,4.0,5.0,0.0,2.0,4.0,14.0,5.0,12.0,6.0,12.0,2.0,2.0,0.0,0.0,17.0,13.0,14.0,20.0,2.0,2.0,1.0,1.0,1.0,0.0,13.0,9.0,1.0,2.0,3.0,3.0,14.0,6.0,5.0,3.0,48.0,52.0,198,173,4-4-2,4-2-3-1,4601,0,0.9,0.87
9604,2.0,0.0,2.0,2.0,5.0,4.0,6.0,5.0,12.0,13.0,2.0,4.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,2.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,52.0,48.0,236,72,3-5-2,4-3-1-2,5480,0,0.85,0.88
19503,4.0,4.0,2.0,7.0,7.0,7.0,6.0,5.0,4.0,9.0,0.0,1.0,0.0,0.0,17.0,13.0,16.0,16.0,2.0,2.0,1.0,1.0,0.0,1.0,5.0,15.0,1.0,2.0,3.0,3.0,16.0,6.0,3.0,4.0,58.0,42.0,24,96,3-4-3,4-4-2,547,1,0.76,0.9
14949,5.0,5.0,0.0,3.0,0.0,8.0,3.0,7.0,21.0,15.0,3.0,2.0,0.0,0.0,17.0,13.0,15.0,23.0,2.0,2.0,1.0,1.0,3.0,3.0,13.0,4.0,1.0,2.0,3.0,3.0,18.0,21.0,2.0,2.0,47.0,53.0,173,47,4-2-3-1,4-1-2-3,3942,1,0.87,0.83
27305,10.0,3.0,2.0,2.0,9.0,5.0,8.0,5.0,12.0,7.0,3.0,1.0,0.0,0.0,19.0,14.0,10.0,18.0,4.0,1.0,1.0,0.0,2.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,59.0,41.0,178,298,4-2-3-1,4-4-2,4114,0,0.87,0.9
17065,4.0,7.0,0.0,3.0,4.0,6.0,8.0,3.0,14.0,16.0,3.0,2.0,0.0,0.0,13.0,14.0,11.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,52.0,48.0,211,189,4-1-4-1,4-2-3-1,4907,1,0.93,0.87
4576,8.0,4.0,0.0,1.0,4.0,1.0,6.0,3.0,13.0,18.0,3.0,4.0,0.0,1.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,4.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,54.0,46.0,26,17,4-4-2,4-2-3-1,607,0,0.9,0.87
27304,3.0,6.0,2.0,4.0,3.0,6.0,7.0,4.0,12.0,7.0,2.0,3.0,0.0,0.0,20.0,17.0,15.0,21.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,46.0,54.0,20,179,4-2-3-1,4-4-2,431,0,0.87,0.9
12970,5.0,4.0,2.0,7.0,7.0,4.0,5.0,5.0,26.0,17.0,5.0,3.0,0.0,0.0,19.0,16.0,20.0,19.0,2.0,3.0,3.0,3.0,0.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,51.0,49.0,174,273,4-4-2,4-4-2,4007,1,0.9,0.9
24200,0.0,7.0,1.0,2.0,0.0,14.0,0.0,10.0,7.0,7.0,1.0,2.0,0.0,0.0,17.0,13.0,15.0,25.0,2.0,2.0,1.0,1.0,0.0,1.0,16.0,2.0,1.0,2.0,3.0,3.0,9.0,8.0,6.0,0.0,20.0,80.0,51,178,3-4-3,4-3-3,1129,1,0.76,0.78
3475,4.0,5.0,1.0,0.0,2.0,2.0,10.0,3.0,4.0,17.0,5.0,5.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,49.0,51.0,260,187,4-5-1,4-2-3-1,6068,1,0.95,0.87
22363,4.0,8.0,0.0,5.0,6.0,4.0,11.0,2.0,15.0,19.0,4.0,4.0,0.0,0.0,26.0,18.0,19.0,28.0,1.0,5.0,1.0,1.0,2.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,48.0,52.0,245,283,4-4-2,4-2-3-1,5734,0,0.9,0.87
23995,4.0,7.0,4.0,1.0,4.0,2.0,8.0,2.0,11.0,12.0,2.0,0.0,0.0,0.0,17.0,13.0,9.0,24.0,2.0,2.0,1.0,1.0,1.0,5.0,10.0,8.0,1.0,2.0,3.0,3.0,13.0,15.0,2.0,3.0,52.0,48.0,107,20,3-4-3,4-2-3-1,2405,1,0.76,0.87
11035,1.0,5.0,3.0,2.0,3.0,4.0,2.0,5.0,20.0,13.0,0.0,2.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,65.0,35.0,37,120,4-2-3-1,4-1-4-1,835,0,0.87,0.93
11288,4.0,4.0,1.0,0.0,7.0,7.0,8.0,2.0,13.0,9.0,2.0,2.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,50.0,50.0,153,141,,,3450,1,,
4423,9.0,9.0,0.0,3.0,5.0,3.0,11.0,6.0,9.0,7.0,2.0,0.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,3.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,50.0,50.0,243,2,4-1-2-1-2,4-4-2,5654,0,0.89,0.9
18504,8.0,4.0,1.0,1.0,10.0,4.0,5.0,4.0,10.0,10.0,1.0,2.0,0.0,0.0,17.0,13.0,32.0,30.0,2.0,2.0,1.0,1.0,0.0,2.0,5.0,13.0,1.0,2.0,3.0,3.0,10.0,11.0,2.0,8.0,64.0,36.0,87,9,4-4-2,4-4-2,1935,1,0.9,0.9
25979,4.0,6.0,4.0,6.0,3.0,7.0,3.0,6.0,10.0,11.0,1.0,2.0,0.0,0.0,9.0,16.0,2.0,4.0,2.0,0.0,1.0,1.0,0.0,3.0,4.0,4.0,0.0,2.0,3.0,2.0,14.0,14.0,2.0,3.0,33.0,67.0,78,197,4-4-2,4-2-3-1,1769,1,0.9,0.87
7694,5.0,6.0,2.0,2.0,7.0,5.0,10.0,4.0,14.0,21.0,1.0,5.0,0.0,0.0,23.0,11.0,15.0,9.0,5.0,2.0,1.0,1.0,1.0,1.0,6.0,13.0,0.0,3.0,2.0,3.0,14.0,14.0,2.0,3.0,62.0,38.0,213,277,3-5-1-1,4-1-2-1-2,4965,1,0.89,0.89
10589,6.0,5.0,4.0,0.0,6.0,3.0,5.0,1.0,15.0,16.0,2.0,2.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,8.0,1.0,2.0,2.0,3.0,14.0,14.0,2.0,3.0,51.0,49.0,15,111,4-2-3-1,4-2-3-1,323,1,0.87,0.87
26046,9.0,5.0,3.0,0.0,7.0,3.0,9.0,8.0,18.0,13.0,2.0,2.0,0.0,0.0,23.0,11.0,6.0,13.0,6.0,3.0,1.0,1.0,0.0,3.0,10.0,9.0,1.0,2.0,3.0,2.0,14.0,14.0,2.0,3.0,51.0,49.0,197,266,4-2-3-1,4-2-3-1,4574,1,0.87,0.87
9134,1.0,0.0,2.0,2.0,5.0,4.0,6.0,5.0,12.0,13.0,2.0,3.0,0.0,1.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,52.0,48.0,70,160,4-3-3,4-1-4-1,1583,0,0.78,0.93
12062,2.0,4.0,1.0,6.0,1.0,2.0,11.0,4.0,17.0,24.0,1.0,3.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,0.0,2.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,54.0,46.0,144,182,,,3230,1,,
8736,9.0,3.0,4.0,2.0,5.0,7.0,3.0,10.0,5.0,13.0,2.0,3.0,0.0,0.0,3.0,1.0,11.0,7.0,2.0,1.0,2.0,0.0,4.0,3.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,43.0,57.0,213,138,4-4-2,3-4-2-1,4950,0,0.9,0.82
2528,6.0,6.0,1.0,3.0,3.0,6.0,4.0,9.0,13.0,10.0,0.0,2.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,48.0,52.0,292,10,4-4-2,4-4-2,7340,0,0.9,0.9
26296,5.0,4.0,1.0,5.0,8.0,6.0,7.0,5.0,10.0,12.0,1.0,2.0,0.0,0.0,23.0,11.0,4.0,2.0,4.0,1.0,1.0,0.0,3.0,3.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,60.0,40.0,20,107,4-2-3-1,4-4-1-1,424,1,0.87,0.91
19195,9.0,4.0,4.0,2.0,10.0,3.0,8.0,3.0,8.0,11.0,2.0,2.0,0.0,0.0,17.0,13.0,19.0,11.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,14.0,1.0,2.0,3.0,3.0,13.0,12.0,4.0,7.0,65.0,35.0,228,96,4-1-3-2,4-3-3,5247,0,0.82,0.78
10250,5.0,8.0,6.0,1.0,2.0,9.0,4.0,6.0,20.0,13.0,4.0,4.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,8.0,1.0,2.0,4.0,4.0,14.0,14.0,2.0,3.0,28.0,72.0,101,8,4-2-3-1,,2269,0,0.87,
14888,2.0,3.0,3.0,2.0,0.0,4.0,3.0,3.0,12.0,14.0,1.0,2.0,0.0,0.0,17.0,13.0,19.0,13.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,9.0,1.0,2.0,3.0,3.0,16.0,15.0,2.0,1.0,43.0,57.0,263,206,3-4-3,3-5-2,6149,1,0.76,0.85
17941,6.0,5.0,1.0,0.0,4.0,4.0,6.0,2.0,13.0,20.0,0.0,0.0,0.0,0.0,17.0,13.0,16.0,15.0,6.0,2.0,1.0,1.0,2.0,2.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,47.0,53.0,211,284,4-4-2,4-3-3,4920,1,0.9,0.78
16463,2.0,3.0,7.0,1.0,9.0,1.0,14.0,4.0,17.0,16.0,0.0,0.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,2.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,58.0,42.0,206,251,4-2-3-1,4-1-2-2-1,4795,0,0.87,0.91
1366,4.0,3.0,1.0,1.0,7.0,3.0,5.0,6.0,5.0,7.0,0.0,1.0,0.0,0.0,29.0,12.0,20.0,23.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,11.0,0.0,1.0,5.0,4.0,14.0,14.0,2.0,3.0,61.0,39.0,237,242,3-5-2,4-4-2,5519,1,0.85,0.9
1458,2.0,2.0,3.0,2.0,2.0,6.0,5.0,10.0,12.0,11.0,0.0,0.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,4.0,4.0,14.0,14.0,2.0,3.0,38.0,62.0,242,149,3-4-2-1,4-1-2-3,5638,1,0.82,0.83
17073,4.0,8.0,1.0,1.0,8.0,12.0,3.0,14.0,24.0,11.0,1.0,2.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,40.0,60.0,55,206,4-2-3-1,4-2-2-2,1218,0,0.87,0.86
20244,1.0,3.0,0.0,2.0,9.0,3.0,4.0,2.0,16.0,11.0,1.0,2.0,0.0,0.0,26.0,10.0,2.0,6.0,1.0,3.0,1.0,0.0,0.0,2.0,4.0,13.0,3.0,3.0,3.0,3.0,14.0,14.0,2.0,3.0,56.0,44.0,283,291,4-3-3,4-4-2,6634,1,0.78,0.9
21278,9.0,2.0,3.0,5.0,9.0,4.0,6.0,3.0,13.0,17.0,1.0,4.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,0.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,64.0,36.0,209,24,4-2-3-1,4-2-3-1,4836,1,0.87,0.87
23433,10.0,6.0,1.0,4.0,5.0,5.0,5.0,3.0,6.0,4.0,1.0,0.0,0.0,0.0,17.0,13.0,24.0,16.0,2.0,2.0,1.0,1.0,5.0,2.0,4.0,6.0,1.0,2.0,3.0,3.0,8.0,7.0,4.0,5.0,58.0,42.0,178,253,4-3-3,5-4-1,4107,0,0.78,0.98
12801,4.0,4.0,2.0,2.0,5.0,4.0,6.0,5.0,12.0,13.0,3.0,1.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,4.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,52.0,48.0,141,59,4-2-3-1,4-2-3-1,3124,0,0.87,0.87
18255,3.0,1.0,0.0,1.0,1.0,3.0,5.0,3.0,20.0,15.0,3.0,1.0,0.0,0.0,17.0,13.0,27.0,25.0,2.0,2.0,1.0,1.0,0.0,0.0,8.0,6.0,1.0,2.0,3.0,3.0,16.0,20.0,1.0,3.0,66.0,34.0,67,24,4-1-3-2,4-4-2,1502,1,0.82,0.9
23238,11.0,3.0,1.0,1.0,6.0,7.0,4.0,1.0,5.0,14.0,0.0,2.0,0.0,0.0,17.0,13.0,18.0,21.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,6.0,1.0,2.0,3.0,3.0,15.0,6.0,2.0,7.0,70.0,30.0,71,246,4-3-3,3-5-2,1621,0,0.78,0.85
